.\client\node_modules\chromium-bidi\lib\cjs\protocol-parser\generated\webdriver-bidi-permissions.js - Lines: 56, Functions: 5, Imports: 0
.\client\node_modules\chromium-bidi\lib\cjs\protocol-parser\generated\webdriver-bidi.js - Lines: 2911, Functions: 406, Imports: 0
.\client\node_modules\chromium-bidi\lib\cjs\utils\assert.js - Lines: 25, Functions: 1, Imports: 0
.\client\node_modules\chromium-bidi\lib\cjs\utils\base64.js - Lines: 35, Functions: 1, Imports: 0
.\client\node_modules\chromium-bidi\lib\cjs\utils\Buffer.js - Lines: 47, Functions: 0, Imports: 0
.\client\node_modules\chromium-bidi\lib\cjs\utils\cdpErrorConstants.js - Lines: 19, Functions: 0, Imports: 0
.\client\node_modules\chromium-bidi\lib\cjs\utils\DefaultMap.js - Lines: 40, Functions: 0, Imports: 0
.\client\node_modules\chromium-bidi\lib\cjs\utils\Deferred.js - Lines: 71, Functions: 0, Imports: 0
.\client\node_modules\chromium-bidi\lib\cjs\utils\EventEmitter.js - Lines: 74, Functions: 2, Imports: 0
.\client\node_modules\chromium-bidi\lib\cjs\utils\graphemeTools.js - Lines: 38, Functions: 2, Imports: 0
.\client\node_modules\chromium-bidi\lib\cjs\utils\IdWrapper.js - Lines: 34, Functions: 0, Imports: 0
.\client\node_modules\chromium-bidi\lib\cjs\utils\log.js - Lines: 31, Functions: 1, Imports: 0
.\client\node_modules\chromium-bidi\lib\cjs\utils\Mutex.js - Lines: 68, Functions: 1, Imports: 0
.\client\node_modules\chromium-bidi\lib\cjs\utils\ProcessingQueue.js - Lines: 67, Functions: 0, Imports: 0
.\client\node_modules\chromium-bidi\lib\cjs\utils\result.js - Lines: 19, Functions: 0, Imports: 0
.\client\node_modules\chromium-bidi\lib\cjs\utils\time.js - Lines: 27, Functions: 1, Imports: 0
.\client\node_modules\chromium-bidi\lib\cjs\utils\transport.js - Lines: 19, Functions: 0, Imports: 0
.\client\node_modules\chromium-bidi\lib\cjs\utils\unitConversions.js - Lines: 24, Functions: 1, Imports: 0
.\client\node_modules\chromium-bidi\lib\cjs\utils\urlHelpers.js - Lines: 52, Functions: 1, Imports: 0
.\client\node_modules\chromium-bidi\lib\cjs\utils\uuid.js - Lines: 64, Functions: 2, Imports: 0
.\client\node_modules\chromium-bidi\lib\cjs\utils\WebsocketTransport.js - Lines: 41, Functions: 0, Imports: 0
.\client\node_modules\chromium-bidi\lib\esm\index.js - Lines: 19, Functions: 0, Imports: 0
.\client\node_modules\chromium-bidi\lib\esm\bidiMapper\BidiMapper.js - Lines: 25, Functions: 0, Imports: 2
.\client\node_modules\chromium-bidi\lib\esm\bidiMapper\BidiNoOpParser.js - Lines: 261, Functions: 0, Imports: 0
.\client\node_modules\chromium-bidi\lib\esm\bidiMapper\BidiParser.js - Lines: 18, Functions: 0, Imports: 0
.\client\node_modules\chromium-bidi\lib\esm\bidiMapper\BidiServer.js - Lines: 149, Functions: 0, Imports: 14
.\client\node_modules\chromium-bidi\lib\esm\bidiMapper\BidiTransport.js - Lines: 18, Functions: 0, Imports: 0
.\client\node_modules\chromium-bidi\lib\esm\bidiMapper\CommandProcessor.js - Lines: 317, Functions: 0, Imports: 16
